Build tool,Path,Group id,Artifact id,Version,Dependency group id,Dependency artifact id,Dependency version,Direct Dependency,Resolution failure
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty.compression,jetty-compression-common,12.1.11,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty.ee10.websocket,jetty-ee10-websocket-jakarta-common,12.1.11,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty.websocket,jetty-websocket-core-client,12.1.11,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty.websocket,jetty-websocket-core-common,12.1.11,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.exist-db,exist-core,7.0.0-SNAPSHOT,true,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,net.jcip,jcip-annotations,1.0,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,antlr,antlr,2.7.7,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,com.fasterxml.jackson.core,jackson-core,2.22.1,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,com.evolvedbinary.multilock,multilock,1.0.1,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,com.github.ben-manes.caffeine,caffeine,3.2.4,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.jspecify,jspecify,1.0.0,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,com.google.errorprone,error_prone_annotations,2.49.0,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,com.github.krukow,clj-ds,0.0.4,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,com.siemens.ct.exi,exificient,1.0.7,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.slf4j,slf4j-api,2.0.18,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,xmlpull,xmlpull,1.1.3.1,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,javax.activation,activation,1.1.1,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,com.siemens.ct.exi,exificient-grammars,1.0.7,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,com.siemens.ct.exi,exificient-core,1.0.7,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,com.ibm.icu,icu4j,76.1,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.relaxng,jing,20241231,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,isorelax,isorelax,20030108,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.exquery,exquery-common,0.2.1,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.bouncycastle,bcprov-jdk18on,1.85,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,at.yawk.lz4,lz4-java,1.11.1,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,com.evolvedbinary.j8fu,j8fu,1.24.0,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,com.fasterxml.uuid,java-uuid-generator,5.2.0,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,jakarta.servlet,jakarta.servlet-api,6.0.0,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,jakarta.xml.bind,jakarta.xml.bind-api,4.0.5,false,
