Source path,Class name,Method name,Pattern type,Exception types,Handling strategy,Logging framework,Log level
exist-core/src/main/java/org/exist/xquery/functions/request/GetQueryString.java,org.exist.xquery.functions.request.GetQueryString,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetCookieValue.java,org.exist.xquery.functions.request.GetCookieValue,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetCookieValue.java,org.exist.xquery.functions.request.GetCookieValue,getCookieValue,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/StrictRequestFunction.java,org.exist.xquery.functions.request.StrictRequestFunction,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/StrictRequestFunction.java,org.exist.xquery.functions.request.StrictRequestFunction,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetURI.java,org.exist.xquery.functions.request.GetURI,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetRemotePort.java,org.exist.xquery.functions.request.GetRemotePort,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetUploadedFile.java,org.exist.xquery.functions.request.GetUploadedFile,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetData.java,org.exist.xquery.functions.request.GetData,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetData.java,org.exist.xquery.functions.request.GetData,eval,try-catch,IOException,wrap,Log4j,
exist-core/src/main/java/org/exist/xquery/functions/request/GetData.java,org.exist.xquery.functions.request.GetData,eval,try-catch,IOException,wrap,Log4j,
exist-core/src/main/java/org/exist/xquery/functions/request/GetData.java,org.exist.xquery.functions.request.GetData,eval,try-catch,IOException,log,Log4j,ERROR
exist-core/src/main/java/org/exist/xquery/functions/request/GetData.java,org.exist.xquery.functions.request.GetData,eval,try-catch,IOException,log,Log4j,ERROR
exist-core/src/main/java/org/exist/xquery/functions/request/GetData.java,org.exist.xquery.functions.request.GetData,parseAsXml,try-catch,SAXException | IOException,ignore,Log4j,
exist-core/src/main/java/org/exist/xquery/functions/request/GetData.java,org.exist.xquery.functions.request.GetData,parseAsString,throws-declaration,IOException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/SetAttribute.java,org.exist.xquery.functions.request.SetAttribute,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetMethod.java,org.exist.xquery.functions.request.GetMethod,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetScheme.java,org.exist.xquery.functions.request.GetScheme,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/GetURL.java,org.exist.xquery.functions.request.GetURL,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/RequestFunction.java,org.exist.xquery.functions.request.RequestFunction,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/request/RequestFunction.java,org.exist.xquery.functions.request.RequestFunction,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/map/MapFunction.java,org.exist.xquery.functions.map.MapFunction,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/map/MapFunction.java,org.exist.xquery.functions.map.MapFunction,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/map/MapFunction.java,org.exist.xquery.functions.map.MapFunction,remove,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/map/MapFunction.java,org.exist.xquery.functions.map.MapFunction,put,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/map/MapFunction.java,org.exist.xquery.functions.map.MapFunction,entry,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/map/MapFunction.java,org.exist.xquery.functions.map.MapFunction,size,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/map/MapFunction.java,org.exist.xquery.functions.map.MapFunction,merge,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/map/MapFunction.java,org.exist.xquery.functions.map.MapFunction,merge,try-catch,XPathException,custom,,
exist-core/src/main/java/org/exist/xquery/functions/map/MapFunction.java,org.exist.xquery.functions.map.MapFunction,forEach,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/map/MapType.java,org.exist.xquery.functions.map.MapType,convert,try-catch,XPathException,recover,,
exist-core/src/main/java/org/exist/xquery/functions/map/SingleKeyMapType.java,org.exist.xquery.functions.map.SingleKeyMapType,remove,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/map/MapExpr.java,org.exist.xquery.functions.map.MapExpr,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/map/MapExpr.java,org.exist.xquery.functions.map.MapExpr,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/map/AbstractMapType.java,org.exist.xquery.functions.map.AbstractMapType,put,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/map/AbstractMapType.java,org.exist.xquery.functions.map.AbstractMapType,remove,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/map/AbstractMapType.java,org.exist.xquery.functions.map.AbstractMapType,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/map/AbstractMapType.java,org.exist.xquery.functions.map.AbstractMapType,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/map/AbstractMapType.java,org.exist.xquery.functions.map.AbstractMapType,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/map/AbstractMapType.java,org.exist.xquery.functions.map.AbstractMapType,evalFunction,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/map/AbstractMapType.java,org.exist.xquery.functions.map.AbstractMapType,setArguments,throws-declaration,XPathException,propagate,,
